T_MeV,muB_MeV,P_over_T4,I_over_T4,s_over_T3,e_over_T4,nB_over_T3,CV_over_T3,cs2,phi_u,phi_d,phi_s,Phi,PhiBar,solve_residual,a1,a2,T0_MeV
224,0,2.09368612214,3.58742321801,11.9621677066,9.86848158442,0,47.721525932,0.250666077267,-0.0880536900491,-0.0880536900491,-1.69978011278,0.848119969931,0.848119969931,7.36988035703e-16,-7.505272994,0.091848942829,175.695929622
226,0,2.12547566959,3.56523015211,12.0671328304,9.94165716086,0,47.9829443256,0.251487960984,-0.0842350266353,-0.0842350266353,-1.67409364741,0.851900753074,0.851900753074,1.28683337886e-15,-7.505272994,0.091848942829,175.695929622
228,0,2.15679177459,3.54352551383,12.1706926122,10.0139008376,0,48.2380048642,0.252305057941,-0.0806308142978,-0.0806308142978,-1.64799966705,0.855607520495,0.855607520495,2.82618246394e-15,-7.505272994,0.091848942829,175.695929622
230,0,2.1876467801,3.52226543493,12.2728525553,10.0852057752,0,48.486650732,0.253118175209,-0.0772240935261,-0.0772240935261,-1.6215159002,0.859242018616,0.859242018616,1.58586034959e-15,-7.505272994,0.091848942829,175.695929622
232,0,2.21805233761,3.50140814133,12.3736174918,10.1555651542,0,48.7288473516,0.253927974173,-0.0739995807409,-0.0739995807409,-1.59466124817,0.862805916183,0.862805916183,2.32106795194e-16,-7.505272994,0.091848942829,175.695929622
234,0,2.2480194492,3.48091400829,12.4729918051,10.2249723559,0,48.9645812058,0.254734983899,-0.0709434659773,-0.0709434659773,-1.56745570135,0.86630081221,0.86630081221,9.57770232329e-16,-7.505272994,0.091848942829,175.695929622
236,0,2.27755850804,3.46074559735,12.5709796295,10.2934211215,0,49.1938588727,0.255539612415,-0.0680432393418,-0.0680432393418,-1.53992024858,0.86972824306,0.86972824306,1.95638145927e-16,-7.505272994,0.091848942829,175.695929622
238,0,2.30667933756,3.44086767821,12.6675850284,10.3609056909,0,49.4167061795,0.256342156485,-0.0652875416045,-0.0652875416045,-1.51207677967,0.873089688797,0.873089688797,9.02288238631e-16,-7.505272994,0.091848942829,175.695929622
240,0,2.33539122896,3.42124723827,12.7628121541,10.4274209252,0,49.6331674073,0.257142810359,-0.0626660351184,-0.0626660351184,-1.48394798165,0.876386578886,0.876386578886,3.33716794654e-16,-7.505272994,0.091848942829,175.695929622
242,0,2.36370297739,3.40185348119,12.8566653908,10.4929624134,0,49.8433044923,0.257941673846,-0.0601692919253,-0.0601692919253,-1.45555722954,0.879620297316,0.879620297316,1.91343744432e-15,-7.505272994,0.091848942829,175.695929622
244,0,2.3916229164,3.3826578157,12.9491494813,10.5575265649,0,50.0471961872,0.258738759967,-0.0577886964476,-0.0577886964476,-1.42692847239,0.882792187208,0.882792187208,1.64771440301e-15,-7.505272994,0.091848942829,175.695929622
